age,count,accuracy,precision,recall_TPR,selection_rate,true_positive_rate,false_positive_rate
46-55,19.0,0.9473684210526315,0.9166666666666666,1.0,0.631578947368421,1.0,0.125
56-65,21.0,0.7619047619047619,0.6666666666666666,1.0,0.7142857142857143,1.0,0.45454545454545453
<=45,10.0,0.8,0.7777777777777778,1.0,0.9,1.0,0.6666666666666666
>65,9.0,0.8888888888888888,1.0,0.75,0.3333333333333333,0.75,0.0
