gender,count,accuracy,precision,recall_TPR,selection_rate,true_positive_rate,false_positive_rate
female,18.0,0.8888888888888888,0.8666666666666667,1.0,0.8333333333333334,1.0,0.4
male,41.0,0.8292682926829268,0.75,0.9473684210526315,0.5853658536585366,0.9473684210526315,0.2727272727272727
